Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1996-97,21,PHI,NBA,PG,76,74,3045,18,0.513,0.303,0.362,4,7.2,5.6,33.6,2.6,0.6,16.2,28.9,3.1,1,4.1,0.065,2.5,-1.6,0.9,2.2,MVP-17ROY-1
1997-98,22,PHI,NBA,PG,80,80,3150,20.4,0.535,0.167,0.38,3.1,7.7,5.4,30.6,3,0.6,12.9,26.9,6.3,2.8,9,0.138,3.5,0.1,3.6,4.5,
1998-99,23,PHI,NBA,SG,48,48,1990,22.2,0.508,0.188,0.449,3.8,10.1,6.9,24.2,3,0.3,11.7,32.6,4.3,2.9,7.2,0.173,5.1,0.6,5.7,3.9,MVP-4NBA1
1999-00,24,PHI,NBA,SG,70,70,2853,20,0.496,0.151,0.358,2.7,7.7,5.2,23,2.6,0.1,10.3,34.4,3.3,3.6,6.9,0.116,3.4,-0.2,3.2,3.8,MVP-7ASNBA2
2000-01,25,PHI,NBA,SG,71,71,2979,24,0.518,0.169,0.397,1.9,8.3,5.2,23,3.2,0.5,10,35.9,7.3,4.5,11.8,0.19,5,1.1,6.1,6.1,MVP-1DPOY-11ASNBA1
2001-02,26,PHI,NBA,SG,60,59,2622,21.9,0.489,0.161,0.351,1.9,9.6,5.8,27.6,3.5,0.4,11,37.8,2.6,4.3,6.9,0.126,3.9,0.8,4.8,4.5,MVP-9ASNBA2
2002-03,27,PHI,NBA,SG,82,82,3485,21.2,0.5,0.156,0.379,2.3,9.5,5.8,25.1,3.4,0.3,11.2,32.9,5,4.2,9.2,0.127,3.2,0.2,3.5,4.8,MVP-6DPOY-6ASNBA2
2003-04,28,PHI,NBA,SG,48,47,2040,19.3,0.478,0.177,0.404,2,8.2,5.1,34.4,3.1,0.2,13.6,35.3,0.5,2.3,2.8,0.066,2.7,-0.6,2.1,2.1,AS
2004-05,29,PHI,NBA,PG,75,75,3174,23.2,0.532,0.186,0.432,1.8,8.9,5.3,37.6,2.9,0.2,13.7,35,5.3,3.7,9,0.136,4.2,0,4.2,5,MVP-5DPOY-11ASNBA1
2005-06,30,PHI,NBA,PG,72,72,3103,25.9,0.543,0.122,0.455,1.7,7.1,4.4,34.9,2.3,0.2,10.2,35.8,8.8,1.8,10.6,0.165,5.8,-1,4.8,5.3,MVP-10ASNBA3
2006-07,31,2TM,NBA,PG,65,64,2761,19.6,0.54,0.15,0.465,1,6.9,4,29.6,2.2,0.3,14.5,29.3,4,2.2,6.2,0.108,2.6,-0.8,1.8,2.6,AS
2006-07,31,PHI,NBA,PG,15,15,640,23.5,0.529,0.145,0.475,1.3,6.4,3.8,34,2.7,0.1,13,36.7,1,0.5,1.6,0.119,4.9,-1,3.9,1,
2006-07,31,DEN,NBA,SG,50,49,2121,18.4,0.545,0.152,0.46,0.9,7.1,4,28.3,2.1,0.4,15.1,27.1,2.9,1.7,4.6,0.105,1.9,-0.8,1.1,1.7,
2007-08,32,DEN,NBA,SG,82,82,3424,20.9,0.567,0.177,0.512,1.5,6.1,3.8,27.4,2.2,0.2,11.4,26.7,8.9,2.8,11.6,0.163,3.4,-0.7,2.7,4,AS
2008-09,33,2TM,NBA,SG,57,53,2093,15.8,0.504,0.119,0.416,1.7,8.2,4.9,23.1,2.3,0.2,12.9,25.7,0.9,1.9,2.9,0.066,0.2,0,0.2,1.1,AS
2008-09,33,DEN,NBA,SG,3,3,123,15.2,0.549,0.2,0.625,2.9,4.6,3.8,25.9,1.2,0.6,16.4,22.1,0.2,0.1,0.2,0.087,1.8,-1.5,0.3,0.1,
2008-09,33,DET,NBA,PG,54,50,1970,15.9,0.502,0.115,0.406,1.6,8.4,5,23,2.4,0.2,12.7,25.9,0.8,1.9,2.7,0.065,0.1,0.1,0.2,1.1,
2009-10,34,2TM,NBA,PG,28,24,865,13.4,0.515,0.079,0.415,2.1,8.7,5.4,21,1.2,0.2,14.6,23,0.5,0.2,0.7,0.037,-1,-1.9,-3,-0.2,AS
2009-10,34,MEM,NBA,PG,3,0,67,16.9,0.591,0.038,0.462,1.7,5.2,3.5,28,0.8,0,18.3,25,0.1,0,0.1,0.074,1.3,-2.7,-1.4,0,
2009-10,34,PHI,NBA,SG,25,24,798,13.1,0.508,0.083,0.41,2.2,9,5.5,20.4,1.2,0.2,14.3,22.8,0.4,0.2,0.6,0.034,-1.2,-1.9,-3.1,-0.2,
2010-11,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
,,,,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
14 Yrs,14 Yrs,14 Yrs,14 Yrs,,914,901,37584,20.9,0.518,0.17,0.41,2.2,8.1,5.1,28.8,2.7,0.3,12.2,31.8,60.9,38.1,99,0.126,3.5,-0.2,3.2,49.6,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,81,3372,20.9,0.518,0.17,0.41,2.2,8.1,5.1,28.8,2.7,0.3,12.2,31.8,5.5,3.4,8.9,0.126,3.5,-0.2,3.2,4.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHI (12 Yrs),PHI (12 Yrs),PHI (12 Yrs),PHI (12 Yrs),,722,717,29879,21.5,0.513,0.173,0.398,2.5,8.4,5.4,29.4,2.9,0.3,12,33.2,48,31.7,79.7,0.128,3.8,-0.1,3.7,42.8,
DEN (3 Yrs),DEN (3 Yrs),DEN (3 Yrs),DEN (3 Yrs),,135,134,5668,19.8,0.559,0.168,0.495,1.3,6.4,3.9,27.7,2.2,0.3,12.9,26.7,12,4.5,16.5,0.14,2.8,-0.8,2.1,5.8,
DET (1 Yr),DET (1 Yr),DET (1 Yr),DET (1 Yr),,54,50,1970,15.9,0.502,0.115,0.406,1.6,8.4,5,23,2.4,0.2,12.7,25.9,0.8,1.9,2.7,0.065,0.1,0.1,0.2,1.1,
MEM (1 Yr),MEM (1 Yr),MEM (1 Yr),MEM (1 Yr),,3,0,67,16.9,0.591,0.038,0.462,1.7,5.2,3.5,28,0.8,0,18.3,25,0.1,0,0.1,0.074,1.3,-2.7,-1.4,0,
