Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
1996-97,21,PHI,NBA,PG,76,74,3045,10.3,24.9,0.416,2.6,7.5,0.341,7.8,17.4,0.448,0.467,6.3,9,0.702,1.9,3.3,5.2,9.4,2.6,0.4,5.6,3.9,29.6,104,112,MVP-17ROY-1
1997-98,22,PHI,NBA,PG,80,80,3150,10.9,23.7,0.461,1.2,4,0.298,9.8,19.7,0.494,0.486,6.6,9,0.729,1.4,3.5,5,8.3,3,0.4,4.1,3.4,29.6,109,106,
1998-99,23,PHI,NBA,SG,48,48,1990,11.8,28.7,0.412,1.6,5.4,0.291,10.3,23.3,0.44,0.439,9.7,12.9,0.751,1.8,4.6,6.4,6.1,3,0.2,4.5,2.7,34.9,105,99,MVP-4NBA1
1999-00,24,PHI,NBA,SG,70,70,2853,13.2,31.5,0.421,1.6,4.7,0.341,11.6,26.7,0.435,0.446,8,11.3,0.713,1.3,3.6,4.8,6,2.6,0.1,4.2,2.9,36.1,101,102,MVP-7ASNBA2
2000-01,25,PHI,NBA,SG,71,71,2979,13.6,32.2,0.42,1.7,5.4,0.32,11.8,26.8,0.441,0.447,10.4,12.8,0.814,0.9,4,4.9,5.8,3.2,0.4,4.2,2.6,39.3,106,99,MVP-1DPOY-11ASNBA1
2001-02,26,PHI,NBA,SG,60,59,2622,13.7,34.4,0.398,1.6,5.5,0.291,12.1,28.9,0.419,0.422,9.8,12,0.812,0.9,4.6,5.5,6.8,3.5,0.3,4.9,2.1,38.8,101,100,MVP-9ASNBA2
2002-03,27,PHI,NBA,SG,82,82,3485,12.1,29.2,0.414,1.3,4.6,0.277,10.8,24.7,0.44,0.436,8.6,11.1,0.774,1,4.2,5.2,6.8,3.4,0.2,4.3,2.2,34.1,103,102,MVP-6DPOY-6ASNBA2
2003-04,28,PHI,NBA,SG,48,47,2040,11.6,30.1,0.387,1.5,5.3,0.286,10.1,24.8,0.408,0.412,9.1,12.2,0.745,0.9,3.8,4.8,8.7,3.1,0.1,5.6,2.3,33.8,96,102,AS
2004-05,29,PHI,NBA,PG,75,75,3174,12.3,29,0.424,1.7,5.4,0.308,10.6,23.6,0.451,0.453,10.4,12.5,0.835,0.8,3.9,4.8,9.5,2.9,0.1,5.5,2.2,36.7,105,105,MVP-5DPOY-11ASNBA1
2005-06,30,PHI,NBA,PG,72,72,3103,13.6,30.4,0.447,1.2,3.7,0.323,12.4,26.7,0.465,0.467,11.3,13.8,0.814,0.7,3.1,3.9,8.9,2.3,0.2,4.1,2,39.7,111,110,MVP-10ASNBA3
2006-07,31,2TM,NBA,PG,65,64,2761,10.5,23.8,0.442,1.1,3.6,0.315,9.4,20.2,0.465,0.466,8.8,11.1,0.795,0.4,3.1,3.5,8.5,2.2,0.2,4.9,1.7,31,106,108,AS
2006-07,31,PHI,NBA,PG,15,15,640,12.5,30.3,0.413,1,4.4,0.226,11.5,25.9,0.444,0.429,12.7,14.4,0.885,0.6,2.8,3.4,9,2.7,0.1,5.5,1.7,38.7,105,108,
2006-07,31,DEN,NBA,SG,50,49,2121,10,22,0.454,1.2,3.3,0.347,8.8,18.6,0.473,0.48,7.7,10.1,0.759,0.4,3.2,3.5,8.3,2.1,0.3,4.7,1.7,28.8,106,108,
2007-08,32,DEN,NBA,SG,82,82,3424,10,21.9,0.458,1.3,3.9,0.345,8.7,18,0.482,0.488,9.1,11.2,0.809,0.7,2.8,3.4,8.2,2.2,0.2,3.4,1.5,30.4,115,109,AS
2008-09,33,2TM,NBA,SG,57,53,2093,9.2,21.9,0.417,0.7,2.6,0.283,8.4,19.3,0.435,0.434,7.1,9.1,0.781,0.8,3.8,4.6,7.4,2.3,0.2,3.8,2.3,26.2,103,109,AS
2008-09,33,DEN,NBA,SG,3,3,123,7.5,16.6,0.45,0.8,3.3,0.25,6.6,13.2,0.5,0.475,7.5,10.3,0.72,1.2,2.1,3.3,8.3,1.2,0.4,4.1,1.2,23.2,109,113,
2008-09,33,DET,NBA,PG,54,50,1970,9.3,22.3,0.416,0.7,2.6,0.286,8.5,19.7,0.432,0.432,7.1,9,0.786,0.8,3.9,4.6,7.4,2.4,0.1,3.8,2.3,26.4,102,109,
2009-10,34,2TM,NBA,PG,28,24,865,8.2,19.1,0.43,0.5,1.5,0.36,7.7,17.6,0.436,0.445,6.3,7.9,0.794,1,3.8,4.8,6.8,1.1,0.1,3.9,2.9,23.3,103,114,AS
2009-10,34,MEM,NBA,PG,3,0,67,11.5,19.9,0.577,0.8,0.8,1,10.7,19.1,0.56,0.596,4.6,9.2,0.5,0.8,2.3,3.1,8.4,0.8,0,5.4,3.8,28.3,108,116,
2009-10,34,PHI,NBA,SG,25,24,798,7.9,19.1,0.417,0.5,1.6,0.333,7.4,17.5,0.425,0.431,6.4,7.8,0.824,1,3.9,4.9,6.7,1.2,0.1,3.7,2.8,22.9,103,114,
