Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1978-79,Did not play - other,Did not play - other,Did not play - other,Did not play - other,Did not play - other,Did not play - other,Did not play - other,Did not play - other,Did not play - other,Did not play - other,Did not play - other,Did not play - other,Did not play - other,Did not play - other,Did not play - other,Did not play - other,Did not play - other,Did not play - other,Did not play - other,Did not play - other,Did not play - other,Did not play - other,Did not play - other,Did not play - other,Did not play - other,Did not play - other,Did not play - other,Did not play - other,Did not play - other,Did not play - other
1979-80,23,BOS,NBA,PF,82,82,2955,8.4,17.8,0.474,0.7,1.7,0.406,7.7,16.1,0.481,0.494,3.7,4.4,0.836,2.6,7.7,10.4,4.5,1.7,0.6,3.2,3.4,21.3,MVP-4ROY-1ASNBA1
1980-81,24,BOS,NBA,PF,82,82,3239,8,16.7,0.478,0.2,0.8,0.27,7.8,15.9,0.489,0.485,3.1,3.6,0.863,2.1,7.8,9.9,5,1.8,0.7,3.2,2.7,19.4,MVP-2ASNBA1
1981-82,25,BOS,NBA,PF,77,58,2923,8.8,17.4,0.503,0.1,0.6,0.212,8.6,16.8,0.514,0.507,4,4.7,0.863,2.5,7.8,10.3,5.5,1.8,0.8,3.1,3,21.7,MVP-2ASNBA1DEF2
1982-83,26,BOS,NBA,PF,79,79,2982,9,17.9,0.504,0.3,0.9,0.286,8.8,16.9,0.516,0.512,4.2,5,0.84,2.3,8.2,10.5,5.5,1.8,0.9,2.9,2.4,22.5,MVP-2DPOY-3ASNBA1DEF2
1983-84,27,BOS,NBA,PF,79,77,3028,9,18.3,0.492,0.2,0.9,0.247,8.8,17.5,0.504,0.497,4.4,5,0.888,2.2,7.3,9.5,6.2,1.7,0.8,2.8,2.3,22.7,MVP-1DPOY-12ASNBA1DEF2
1984-85,28,BOS,NBA,SF,80,77,3161,10.5,20,0.522,0.6,1.5,0.427,9.8,18.6,0.529,0.538,4.6,5.2,0.882,1.9,7.7,9.6,6,1.5,1.1,2.8,2.4,26.1,MVP-1ASNBA1
1985-86,29,BOS,NBA,SF,82,81,3113,9.2,18.6,0.496,0.9,2.2,0.423,8.3,16.3,0.506,0.521,5.1,5.7,0.896,2.2,7.1,9.3,6.4,1.9,0.6,3.1,2.1,24.5,MVP-1ASNBA1
1986-87,30,BOS,NBA,SF,74,73,3005,9.4,17.9,0.525,1.1,2.7,0.4,8.3,15.2,0.547,0.555,5,5.5,0.91,1.5,6.7,8.2,6.8,1.6,0.8,2.9,2.2,24.9,MVP-3ASNBA1
1987-88,31,BOS,NBA,SF,76,75,2965,10.7,20.3,0.527,1.2,2.9,0.414,9.5,17.4,0.546,0.556,5,5.5,0.916,1.3,7.2,8.5,5.7,1.5,0.7,2.6,1.9,27.6,MVP-2ASNBA1
1988-89,32,BOS,NBA,SF,6,6,189,9.3,19.8,0.471,0,0,,9.3,19.8,0.471,0.471,3.4,3.6,0.947,0.2,6.9,7,5.5,1.1,1,2.1,3.4,22.1,
1989-90,33,BOS,NBA,SF,75,75,2944,8.8,18.6,0.473,0.8,2.4,0.333,8,16.2,0.494,0.495,3.9,4.2,0.93,1.1,7.6,8.7,6.9,1.3,0.7,3,2.1,22.3,MVP-10ASNBA2
1990-91,34,BOS,NBA,SF,60,60,2277,7.3,16.1,0.454,1.2,3.1,0.389,6.1,12.9,0.47,0.492,2.6,2.9,0.891,0.8,7.2,8,6.8,1.7,0.9,3,1.9,18.4,MVP-9AS
1991-92,35,BOS,NBA,SF,45,45,1662,7.6,16.4,0.466,1.1,2.8,0.406,6.5,13.6,0.478,0.5,3.2,3.5,0.926,1,8.4,9.4,6.6,0.9,0.7,2.7,1.8,19.7,MVP-14AS
13 Yrs,13 Yrs,13 Yrs,13 Yrs,,897,870,34443,9,18.1,0.496,0.7,1.8,0.376,8.3,16.3,0.509,0.514,4.1,4.7,0.886,1.8,7.5,9.4,6,1.6,0.8,2.9,2.4,22.8,
