Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1984-85,22,HOU,NBA,C,82,82,2914,8.4,15.5,0.538,0,0,,8.4,15.5,0.538,0.538,4.2,6.8,0.613,5.4,6.6,12,1.4,1.2,2.7,2.9,4.2,20.9,MVP-12ROY-2ASDEF2
1985-86,23,HOU,NBA,C,68,68,2467,9.1,17.3,0.526,0,0,,9.1,17.3,0.526,0.526,5.1,7.9,0.645,4.9,6.5,11.4,2,2,3.4,2.8,4,23.3,MVP-4ASNBA2
1986-87,24,HOU,NBA,C,75,75,2760,8.8,17.4,0.508,0,0.1,0.2,8.8,17.3,0.509,0.509,5.2,7.4,0.702,4.1,7.1,11.2,2.9,1.8,3.3,3,3.8,22.9,MVP-7ASNBA1DEF1
1987-88,25,HOU,NBA,C,79,79,2825,9.1,17.6,0.514,0,0.1,0,9.1,17.6,0.516,0.514,4.9,7,0.695,3.8,8.4,12.2,2.1,2.1,2.7,3.1,4.1,23,MVP-7DPOY-3ASNBA1DEF1
1988-89,26,HOU,NBA,C,82,82,3024,9.4,18.5,0.508,0,0.1,0,9.4,18.4,0.511,0.508,5.4,7.8,0.696,4,9.1,13.2,1.8,2.5,3.4,3.3,3.9,24.2,MVP-5DPOY-2ASNBA1
1989-90,27,HOU,NBA,C,82,82,3124,9.3,18.5,0.501,0,0.1,0.167,9.3,18.5,0.502,0.501,4.4,6.2,0.713,3.4,9.8,13.2,2.7,2,4.3,3.6,3.6,23,MVP-7DPOY-2ASNBA2DEF1
1990-91,28,HOU,NBA,C,56,50,2062,8.5,16.7,0.508,0,0.1,0,8.5,16.7,0.51,0.508,3.7,4.8,0.769,3.8,9.6,13.4,2.3,2.1,3.9,3,3.9,20.7,MVP-18DPOY-5NBA3DEF2
1991-92,29,HOU,NBA,C,70,69,2636,8.1,16.1,0.502,0,0,0,8.1,16.1,0.503,0.502,4.5,5.8,0.766,3.4,8.2,11.5,2.1,1.7,4.2,2.6,3.6,20.6,DPOY-6AS
1992-93,30,HOU,NBA,C,82,82,3242,9.4,17.8,0.529,0,0.1,0,9.4,17.7,0.532,0.529,4.9,6.3,0.779,3.1,8.7,11.9,3.2,1.7,3.8,2.9,3.4,23.8,MVP-2DPOY-1ASNBA1DEF1
1993-94,31,HOU,NBA,C,80,80,3277,9.8,18.6,0.528,0.1,0.2,0.421,9.7,18.4,0.529,0.53,4.3,6,0.716,2.5,8,10.5,3.2,1.4,3.3,3,3.2,24,MVP-1DPOY-1ASNBA1DEF1
1994-95,32,HOU,NBA,C,72,72,2853,10.1,19.5,0.517,0,0.2,0.188,10,19.3,0.52,0.517,5.1,6.8,0.756,2.2,7.6,9.8,3.2,1.7,3.1,3,3.2,25.3,MVP-5DPOY-3ASNBA3
1995-96,33,HOU,NBA,C,72,72,2797,9.9,19.2,0.514,0,0.2,0.214,9.8,19,0.517,0.515,5.1,7.1,0.724,2.3,7.8,10.1,3.3,1.5,2.7,3.2,3.1,24.9,MVP-4DPOY-5ASNBA2DEF2
1996-97,34,HOU,NBA,C,78,78,2852,9.2,18,0.51,0.1,0.2,0.313,9.1,17.8,0.512,0.512,4.4,5.6,0.787,2.2,6.9,9,3,1.5,2.2,3.5,3.1,22.8,MVP-7ASNBA1DEF2
1997-98,35,HOU,NBA,C,47,45,1633,6.7,14,0.483,0,0.1,0,6.7,13.9,0.486,0.483,3.5,4.7,0.755,2.6,7.6,10.1,3.2,1.9,2.1,2.8,3.4,17,
1998-99,36,HOU,NBA,C,50,50,1784,7.5,14.6,0.514,0.1,0.3,0.308,7.4,14.4,0.518,0.517,3.9,5.5,0.717,2.1,7.5,9.6,1.8,1.7,2.5,2.8,3.2,19.1,MVP-13DPOY-7NBA3
1999-00,37,HOU,NBA,C,44,28,1049,6.6,14.4,0.458,0,0.1,0,6.6,14.4,0.461,0.458,2.4,3.8,0.616,2.2,7.2,9.4,2.1,1.4,2.4,2.5,3,15.6,
2000-01,38,HOU,NBA,C,58,55,1545,6.6,13.2,0.498,0,0,0,6.6,13.2,0.499,0.498,2.9,4.6,0.621,2.9,7.2,10,1.7,1.6,2.1,1.9,3.3,16.1,
2001-02,39,TOR,NBA,C,61,37,1378,5.1,10.9,0.464,0,0.1,0,5.1,10.9,0.466,0.464,1.2,2.2,0.56,2.6,7,9.6,1.7,1.9,2.4,2.6,3.8,11.4,
18 Yrs,18 Yrs,18 Yrs,18 Yrs,,1238,1186,44222,8.8,17.1,0.512,0,0.1,0.202,8.7,17,0.514,0.513,4.4,6.2,0.712,3.3,7.9,11.2,2.5,1.8,3.1,3,3.6,21.9,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOU (17 Yrs),HOU (17 Yrs),HOU (17 Yrs),HOU (17 Yrs),,1177,1149,42844,8.9,17.3,0.513,0,0.1,0.205,8.8,17.2,0.515,0.514,4.5,6.3,0.713,3.3,7.9,11.2,2.5,1.8,3.1,3,3.6,22.3,
TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),,61,37,1378,5.1,10.9,0.464,0,0.1,0,5.1,10.9,0.466,0.464,1.2,2.2,0.56,2.6,7,9.6,1.7,1.9,2.4,2.6,3.8,11.4,
