Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,101,1,1986-11-01,CHI,@,NYK,W 108-103,*,41:00:00,15,31,0.484,0,0,,15,31,0.484,0.484,20,22,0.909,2,4,6,3,4,3,6,2,50,37.5
2,102,2,1986-11-02,CHI,@,CLE,W 94-89,*,39:00:00,16,31,0.516,0,0,,16,31,0.516,0.516,9,12,0.75,6,2,8,2,0,4,3,3,41,29.3
3,103,3,1986-11-04,CHI,,SAS,W 111-104,*,44:00:00,14,31,0.452,0,1,0,14,30,0.467,0.452,6,13,0.462,3,5,8,5,4,2,6,2,34,20.8
4,104,4,1986-11-07,CHI,@,DET,L 109-115,*,42:00:00,11,26,0.423,0,1,0,11,25,0.44,0.423,11,15,0.733,0,0,0,5,1,1,3,4,33,18.2
5,105,5,1986-11-08,CHI,,PHO,W 101-96,*,39:00:00,17,27,0.63,0,0,,17,27,0.63,0.63,5,5,1,3,3,6,3,5,0,3,2,39,33.2
6,106,6,1986-11-11,CHI,,ATL,W 112-110,*,39:00:00,14,32,0.438,0,0,,14,32,0.438,0.438,6,6,1,4,1,5,3,1,3,5,4,34,18.9
7,107,7,1986-11-12,CHI,@,WSB,L 99-101,*,39:00:00,9,25,0.36,0,1,0,9,24,0.375,0.36,10,12,0.833,0,4,4,4,3,1,4,4,28,15.4
8,108,8,1986-11-14,CHI,,BOS,L 98-110,*,41:00:00,17,33,0.515,1,1,1,16,32,0.5,0.53,13,14,0.929,2,3,5,1,2,1,0,3,48,35.8
9,109,9,1986-11-21,CHI,,NYK,W 101-99,*,40:00:00,14,26,0.538,0,0,,14,26,0.538,0.538,12,15,0.8,1,5,6,4,3,2,2,2,40,32.8
10,110,10,1986-11-22,CHI,,WSB,W 93-84,*,39:00:00,10,26,0.385,0,0,,10,26,0.385,0.385,2,3,0.667,2,7,9,4,3,1,3,3,22,13.2
11,111,11,1986-11-26,CHI,@,DEN,L 107-109,*,41:00:00,13,31,0.419,0,0,,13,31,0.419,0.419,11,14,0.786,2,7,9,3,1,3,2,5,37,24
12,112,12,1986-11-28,CHI,@,LAL,L 103-110,*,45:00:00,19,43,0.442,0,1,0,19,42,0.452,0.442,3,4,0.75,8,2,10,3,1,1,3,4,41,23.5
13,113,13,1986-11-29,CHI,@,GSW,L 106-113,*,42:00:00,11,30,0.367,0,1,0,11,29,0.379,0.367,18,19,0.947,3,2,5,6,4,0,2,3,40,30.7
14,114,14,1986-12-02,CHI,@,SEA,W 115-109 (OT),*,48:00:00,13,30,0.433,0,0,,13,30,0.433,0.433,14,15,0.933,5,4,9,6,3,6,4,3,40,34.7
15,115,15,1986-12-03,CHI,@,UTA,L 94-99,*,40:00:00,17,33,0.515,0,2,0,17,31,0.548,0.515,11,13,0.846,0,3,3,3,6,1,2,3,45,34.4
16,116,16,1986-12-05,CHI,@,PHO,L 112-114,*,41:00:00,15,37,0.405,0,0,,15,37,0.405,0.405,13,17,0.765,2,2,4,2,3,1,1,1,43,27.2
17,117,17,1986-12-06,CHI,@,SAS,L 97-106,*,44:00:00,18,38,0.474,0,2,0,18,36,0.5,0.474,7,7,1,5,0,5,3,1,1,2,4,43,27.3
