Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1984-85,21,CHI,NBA,SG,82,82,3144,25.8,0.592,0.032,0.459,6.3,13.2,9.8,25.3,3,1.3,13,29.8,10.3,3.7,14,0.213,5.8,1.5,7.3,7.4,MVP-6ROY-1ASNBA2
1985-86,22,CHI,NBA,SG,18,7,451,27.5,0.533,0.055,0.381,5.6,10.7,8,21.7,3.9,2.7,10.5,38.6,1,0.5,1.5,0.16,7.5,2.2,9.7,1.3,AS
1986-87,23,CHI,NBA,SG,82,82,3281,29.8,0.562,0.029,0.427,5.6,9.3,7.4,22.2,3.6,2.3,9.1,38.3,11.9,5,16.9,0.247,8.4,2.4,10.8,10.6,MVP-2DPOY-8ASNBA1
1987-88,24,CHI,NBA,SG,82,82,3311,31.7,0.603,0.027,0.43,4.8,10.7,7.8,27,3.9,2.4,9.6,34.1,15.2,6.1,21.2,0.308,8.8,4.2,13,12.5,MVP-1DPOY-1ASNBA1DEF1
1988-89,25,CHI,NBA,SG,81,81,3255,31.1,0.614,0.055,0.442,5.5,17.3,11.6,34.7,3.6,1.2,11.9,32.1,14.6,5.2,19.8,0.292,8.4,3.4,11.9,11.4,MVP-2DPOY-5ASNBA1DEF1
1989-90,26,CHI,NBA,SG,82,82,3197,31.2,0.606,0.125,0.356,5.3,15.6,10.4,28.6,3.5,1.1,9.8,33.7,14.7,4.3,19,0.285,9.1,2.1,11.2,10.6,MVP-3DPOY-5ASNBA1DEF1
1990-91,27,CHI,NBA,SG,82,82,3034,31.6,0.605,0.051,0.365,4.6,14.3,9.5,25.2,3.7,1.7,8.7,32.9,14.9,5.4,20.3,0.321,8.9,3.2,12,10.8,MVP-1DPOY-7ASNBA1DEF1
1991-92,28,CHI,NBA,SG,80,80,3102,27.7,0.579,0.055,0.325,3.5,15.3,9.5,25.7,3,1.5,8.8,31.7,12.1,5.6,17.7,0.274,7.2,2.5,9.7,9.2,MVP-1DPOY-3ASNBA1DEF1
1992-93,29,CHI,NBA,SG,78,78,3067,29.7,0.564,0.115,0.284,4.9,15.1,9.8,25.2,3.7,1.3,8.4,34.7,12,5.2,17.2,0.27,8.7,2.6,11.2,10.2,MVP-3DPOY-2ASNBA1DEF1
1993-94,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB
