Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
1984-85,21,CHI,NBA,SG,82,82,3144,12.9,25,0.515,0.1,0.8,0.173,12.7,24.2,0.526,0.518,9.7,11.5,0.845,2.6,5.6,8.2,7.4,3,1.1,4.5,4.4,35.5,118,107,MVP-6ROY-1ASNBA2
1985-86,22,CHI,NBA,SG,18,7,451,16,35,0.457,0.3,1.9,0.167,15.7,33.1,0.474,0.462,11.2,13.3,0.84,2.5,4.4,6.8,5.7,3.9,2.2,4.8,4.9,43.5,109,107,AS
1986-87,23,CHI,NBA,SG,82,82,3281,16.8,34.8,0.482,0.2,1,0.182,16.6,33.8,0.491,0.484,12.7,14.8,0.857,2.5,4,6.6,5.8,3.6,1.9,4.2,3.6,46.4,117,104,MVP-2DPOY-8ASNBA1
1987-88,24,CHI,NBA,SG,82,82,3311,16.2,30.3,0.535,0.1,0.8,0.132,16.1,29.5,0.546,0.537,11,13.1,0.841,2.1,4.7,6.8,7.4,3.9,2,3.8,4.1,43.6,123,101,MVP-1DPOY-1ASNBA1DEF1
1988-89,25,CHI,NBA,SG,81,81,3255,14.7,27.3,0.538,0.4,1.5,0.276,14.3,25.8,0.553,0.546,10.2,12.1,0.85,2.3,7.6,9.9,9.9,3.6,1,4.4,3.8,40,123,103,MVP-2DPOY-5ASNBA1DEF1
1989-90,26,CHI,NBA,SG,82,82,3197,16,30.5,0.526,1.4,3.8,0.376,14.6,26.7,0.548,0.55,9.2,10.8,0.848,2.2,6.6,8.8,8.1,3.5,0.8,3.8,3.7,42.7,123,106,MVP-3DPOY-5ASNBA1DEF1
1990-91,27,CHI,NBA,SG,82,82,3034,16.4,30.4,0.539,0.5,1.5,0.312,15.9,28.9,0.551,0.547,9.4,11.1,0.851,2,6.2,8.1,7.5,3.7,1.4,3.3,3.8,42.7,125,102,MVP-1DPOY-7ASNBA1DEF1
1991-92,28,CHI,NBA,SG,80,80,3102,15.5,29.8,0.519,0.4,1.6,0.27,15,28.2,0.533,0.526,8,9.7,0.832,1.5,6.9,8.4,8,3,1.2,3.3,3.3,39.4,121,102,MVP-1DPOY-3ASNBA1DEF1
1992-93,29,CHI,NBA,SG,78,78,3067,16.8,33.9,0.495,1.4,3.9,0.352,15.4,30,0.514,0.515,8.1,9.6,0.837,2.3,6.5,8.8,7.2,3.7,1,3.5,3.2,43,119,102,MVP-3DPOY-2ASNBA1DEF1
1993-94,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB
1994-95,31,CHI,NBA,SG,17,17,668,13,31.5,0.411,1.2,2.5,0.5,11.7,29,0.403,0.431,8.5,10.6,0.801,2,7.2,9.1,7,2.3,1,2.7,3.7,35.7,109,103,MVP-11
1995-96,32,CHI,NBA,SG,82,82,3090,15.6,31.5,0.495,1.9,4.4,0.427,13.7,27.1,0.506,0.525,9.3,11.2,0.834,2.5,6.7,9.3,6,3.1,0.7,3.4,3.3,42.5,124,100,MVP-1DPOY-6ASNBA1DEF1
1996-97,33,CHI,NBA,SG,82,82,3106,15.8,32.5,0.486,1.9,5.1,0.374,13.9,27.4,0.507,0.516,8.2,9.9,0.833,1.9,6.3,8.3,6,2.4,0.8,2.9,2.7,41.8,121,102,MVP-2DPOY-5ASNBA1DEF1
1997-98,34,CHI,NBA,SG,82,82,3181,14.9,32.1,0.465,0.5,2.1,0.238,14.4,30,0.482,0.473,9.6,12.2,0.784,2.2,5.8,8.1,4.8,2.4,0.8,3.1,2.6,40,114,100,MVP-1DPOY-4ASNBA1DEF1
