Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1984-85,21,CHI,NBA,SG,82,82,3144,9.6,18.6,0.515,0.1,0.6,0.173,9.5,18,0.526,0.518,7.2,8.5,0.845,1.9,4.2,6.1,5.5,2.2,0.8,3.3,3.3,26.5,MVP-6ROY-1ASNBA2
1985-86,22,CHI,NBA,SG,18,7,451,12,26.2,0.457,0.2,1.4,0.167,11.7,24.7,0.474,0.462,8.4,10,0.84,1.8,3.3,5.1,4.2,3,1.7,3.6,3.7,32.6,AS
1986-87,23,CHI,NBA,SG,82,82,3281,12,25,0.482,0.1,0.7,0.182,11.9,24.3,0.491,0.484,9.1,10.7,0.857,1.8,2.9,4.7,4.1,2.6,1.4,3,2.6,33.4,MVP-2DPOY-8ASNBA1
1987-88,24,CHI,NBA,SG,82,82,3311,11.6,21.7,0.535,0.1,0.6,0.132,11.5,21.1,0.546,0.537,7.9,9.4,0.841,1.5,3.4,4.9,5.3,2.8,1.4,2.7,2.9,31.2,MVP-1DPOY-1ASNBA1DEF1
1988-89,25,CHI,NBA,SG,81,81,3255,10.7,19.9,0.538,0.3,1.1,0.276,10.4,18.8,0.553,0.546,7.5,8.8,0.85,1.6,5.6,7.2,7.2,2.6,0.7,3.2,2.7,29.1,MVP-2DPOY-5ASNBA1DEF1
1989-90,26,CHI,NBA,SG,82,82,3197,11.6,22.1,0.526,1,2.8,0.376,10.6,19.4,0.548,0.55,6.7,7.9,0.848,1.6,4.8,6.4,5.8,2.6,0.6,2.8,2.7,31,MVP-3DPOY-5ASNBA1DEF1
1990-91,27,CHI,NBA,SG,82,82,3034,11.7,21.8,0.539,0.3,1.1,0.312,11.4,20.7,0.551,0.547,6.8,8,0.851,1.4,4.4,5.8,5.4,2.6,1,2.4,2.7,30.6,MVP-1DPOY-7ASNBA1DEF1
1991-92,28,CHI,NBA,SG,80,80,3102,10.9,21.1,0.519,0.3,1.2,0.27,10.6,19.9,0.533,0.526,5.7,6.8,0.832,1.1,4.9,5.9,5.7,2.1,0.9,2.3,2.3,27.9,MVP-1DPOY-3ASNBA1DEF1
1992-93,29,CHI,NBA,SG,78,78,3067,11.6,23.5,0.495,1,2.7,0.352,10.7,20.8,0.514,0.515,5.6,6.7,0.837,1.6,4.5,6.1,5,2.6,0.7,2.4,2.2,29.8,MVP-3DPOY-2ASNBA1DEF1
1993-94,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB,Did not play - retired/MiLB
1994-95,31,CHI,NBA,SG,17,17,668,8.9,21.8,0.411,0.9,1.7,0.5,8.1,20,0.403,0.431,5.9,7.3,0.801,1.3,5,6.3,4.9,1.6,0.7,1.9,2.5,24.6,MVP-11
1995-96,32,CHI,NBA,SG,82,82,3090,10.7,21.6,0.495,1.3,3,0.427,9.4,18.5,0.506,0.525,6.4,7.7,0.834,1.7,4.6,6.3,4.1,2.1,0.5,2.3,2.3,29,MVP-1DPOY-6ASNBA1DEF1
1996-97,33,CHI,NBA,SG,82,82,3106,10.7,21.9,0.486,1.3,3.4,0.374,9.4,18.5,0.507,0.516,5.6,6.7,0.833,1.3,4.3,5.6,4.1,1.6,0.5,1.9,1.8,28.2,MVP-2DPOY-5ASNBA1DEF1
1997-98,34,CHI,NBA,SG,82,82,3181,10,21.4,0.465,0.3,1.4,0.238,9.6,20,0.482,0.473,6.4,8.2,0.784,1.5,3.9,5.4,3.2,1.6,0.5,2.1,1.7,26.7,MVP-1DPOY-4ASNBA1DEF1
1998-99,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired
1999-00,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired
2000-01,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired,Did not play - retired
2001-02,38,WAS,NBA,SF,60,53,2093,9.5,22.8,0.416,0.2,0.9,0.189,9.3,21.9,0.426,0.42,4.5,5.7,0.79,0.9,5,5.8,5.3,1.5,0.4,2.8,2,23.7,MVP-13AS
2002-03,39,WAS,NBA,SF,82,67,3031,8.1,18.1,0.445,0.2,0.7,0.291,7.9,17.5,0.45,0.45,3.2,3.8,0.821,0.8,5.1,5.9,3.7,1.5,0.5,2.1,2,19.5,AS
15 Yrs,15 Yrs,15 Yrs,15 Yrs,,1072,1039,41011,10.7,21.5,0.497,0.5,1.6,0.327,10.2,20,0.51,0.509,6.4,7.7,0.835,1.5,4.4,5.9,4.9,2.2,0.8,2.6,2.4,28.3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHI (13 Yrs),CHI (13 Yrs),CHI (13 Yrs),CHI (13 Yrs),,930,919,35887,11,21.8,0.505,0.6,1.7,0.332,10.4,20.1,0.52,0.518,6.8,8.1,0.838,1.6,4.3,5.9,5,2.3,0.8,2.6,2.5,29.4,
WAS (2 Yrs),WAS (2 Yrs),WAS (2 Yrs),WAS (2 Yrs),,142,120,5124,8.6,20,0.431,0.2,0.8,0.241,8.5,19.3,0.439,0.436,3.7,4.6,0.805,0.9,5,5.9,4.4,1.5,0.5,2.4,2,21.2,
