Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
1996-97,18,LAL,NBA,SF,71,6,1103,8.4,20.2,0.417,2.4,6.5,0.375,6,13.7,0.437,0.477,6.5,7.9,0.819,2.2,4.1,6.3,4.3,2.3,1.1,5.3,4.9,25.7,101,105,
1997-98,19,LAL,NBA,SF,79,1,2056,9.8,22.8,0.428,1.9,5.5,0.341,7.9,17.3,0.456,0.469,9.1,11.4,0.794,2,4.1,6,5,1.8,1,3.9,4.5,30.4,110,106,6MOY-2AS
1998-99,20,LAL,NBA,SG,50,50,1896,10,21.5,0.465,0.7,2.8,0.267,9.3,18.7,0.494,0.482,6.8,8.1,0.839,1.5,5.8,7.3,5.2,2,1.4,4.3,4.2,27.5,106,104,NBA3
1999-00,21,LAL,NBA,SG,66,62,2524,11.3,24.1,0.468,0.9,2.9,0.319,10.3,21.2,0.489,0.488,6.7,8.2,0.821,2.2,6.3,8.5,6.6,2.2,1.3,3.7,4.5,30.3,110,98,MVP-12DPOY-5ASNBA2DEF1
2000-01,22,LAL,NBA,SG,68,68,2783,13.2,28.4,0.464,1.1,3.8,0.305,12,24.6,0.489,0.484,8.9,10.5,0.853,2,5.5,7.5,6.4,2.1,0.8,4.1,4.2,36.4,112,105,MVP-9DPOY-11ASNBA2DEF2
2001-02,23,LAL,NBA,SG,80,80,3063,12.7,27.2,0.469,0.6,2.2,0.25,12.2,24.9,0.489,0.479,8.3,10,0.829,1.9,5.6,7.5,7.5,2,0.6,3.8,3.9,34.4,112,103,MVP-5DPOY-3ASNBA1DEF2
2002-03,24,LAL,NBA,SG,82,82,3401,13.2,29.4,0.451,1.9,4.9,0.383,11.4,24.4,0.465,0.483,9.2,10.9,0.843,1.6,7,8.6,7.3,2.8,1,4.4,3.3,37.6,111,103,MVP-3DPOY-8ASNBA1DEF1
2003-04,25,LAL,NBA,SG,65,64,2447,11,25,0.438,1.5,4.6,0.327,9.5,20.4,0.463,0.468,9.7,11.3,0.852,2.2,5.4,7.6,7,2.4,0.6,3.6,3.7,33.1,112,102,MVP-5DPOY-10ASNBA1DEF1
2004-05,26,LAL,NBA,SG,66,66,2689,11.3,26,0.433,2.6,7.6,0.339,8.7,18.4,0.472,0.482,10.7,13,0.816,1.9,5.8,7.7,7.8,1.7,1,5.3,3.4,35.7,111,111,ASNBA3
2005-06,27,LAL,NBA,SG,80,80,3277,15.8,35,0.45,2.9,8.3,0.347,12.9,26.7,0.482,0.491,11.2,13.2,0.85,1.1,5.7,6.8,5.8,2.4,0.5,4,3.8,45.6,114,105,MVP-4ASNBA1DEF1
2006-07,28,LAL,NBA,SG,77,77,3140,13.3,28.7,0.463,2.2,6.5,0.344,11,22.2,0.497,0.502,10.9,12.6,0.868,1.2,5.9,7.2,6.7,1.8,0.6,4.2,3.4,39.7,115,109,MVP-3DPOY-24ASNBA1DEF1
2007-08,29,LAL,NBA,SG,82,82,3192,12.2,26.6,0.459,2.4,6.5,0.361,9.8,20.1,0.49,0.503,9.8,11.7,0.84,1.5,6.7,8.1,6.9,2.4,0.6,4,3.6,36.5,115,105,MVP-1DPOY-5ASNBA1DEF1
2008-09,30,LAL,NBA,SG,82,82,2960,13.8,29.4,0.467,2,5.8,0.351,11.7,23.7,0.496,0.502,8.3,9.7,0.856,1.5,5.8,7.4,6.9,2.1,0.6,3.6,3.3,37.8,115,106,MVP-2DPOY-7ASNBA1DEF1
2009-10,31,LAL,NBA,SG,73,73,2835,13.1,28.6,0.456,1.8,5.5,0.329,11.3,23.1,0.487,0.488,8,9.9,0.811,1.4,5.7,7.1,6.7,2.1,0.4,4.3,3.4,35.9,109,104,MVP-3DPOY-12ASNBA1DEF1
2010-11,32,LAL,NBA,SG,82,82,2779,14.1,31.2,0.451,2.2,6.8,0.323,11.9,24.4,0.487,0.487,9.2,11.1,0.828,1.6,6.4,8,7.4,1.9,0.2,4.6,3.3,39.6,111,105,MVP-4DPOY-11ASNBA1DEF1
2011-12,33,LAL,NBA,SG,58,58,2232,13.6,31.7,0.43,2.1,6.8,0.303,11.6,24.9,0.464,0.462,9.1,10.7,0.845,1.6,5.9,7.4,6.3,1.6,0.4,4.8,2.5,38.4,105,106,MVP-4ASNBA1DEF2
2012-13,34,LAL,NBA,SG,78,78,3013,12.5,26.9,0.463,2.2,6.9,0.324,10.2,20,0.51,0.504,8.9,10.6,0.839,1.1,6.2,7.3,7.9,1.8,0.4,4.8,2.9,36,112,107,MVP-5ASNBA1
2013-14,35,LAL,NBA,SG,6,6,177,8.5,20.1,0.425,0.8,4.4,0.188,7.7,15.7,0.491,0.445,4.9,5.8,0.857,0.5,6.6,7.1,10.4,1.9,0.3,9.3,2.5,22.8,84,111,AS
2014-15,36,LAL,NBA,SG,35,35,1207,11.3,30.2,0.373,2.3,7.8,0.293,9,22.4,0.401,0.411,8.3,10.2,0.813,1.1,7.3,8.4,8.3,2,0.3,5.4,2.8,33.1,96,110,AS
2015-16,37,LAL,NBA,SF,66,66,1863,10.7,30,0.358,3.6,12.6,0.285,7.1,17.4,0.41,0.417,6.3,7.6,0.826,1.1,5.6,6.7,5,1.7,0.4,3.5,3.1,31.3,95,113,AS
,,,,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
20 Yrs,20 Yrs,20 Yrs,20 Yrs,,1346,1198,48637,12.5,27.9,0.447,1.9,5.9,0.329,10.5,22,0.479,0.482,8.9,10.7,0.837,1.6,5.9,7.5,6.7,2.1,0.7,4.3,3.6,35.8,110,105,
