Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1996-97,18,LAL,NBA,SF,71,6,1103,5.7,13.8,0.417,1.7,4.4,0.375,4.1,9.3,0.437,0.477,4.4,5.4,0.819,1.5,2.8,4.3,3,1.6,0.8,3.7,3.3,17.6,
1997-98,19,LAL,NBA,SF,79,1,2056,6.8,16,0.428,1.3,3.9,0.341,5.5,12.1,0.456,0.469,6.4,8,0.794,1.4,2.9,4.2,3.5,1.3,0.7,2.7,3.2,21.4,6MOY-2AS
1998-99,20,LAL,NBA,SG,50,50,1896,6.9,14.8,0.465,0.5,1.9,0.267,6.4,12.9,0.494,0.482,4.7,5.5,0.839,1,4,5,3.6,1.4,0.9,3,2.9,18.9,NBA3
1999-00,21,LAL,NBA,SG,66,62,2524,7.9,16.9,0.468,0.7,2.1,0.319,7.2,14.8,0.489,0.488,4.7,5.7,0.821,1.5,4.4,5.9,4.6,1.5,0.9,2.6,3.1,21.2,MVP-12DPOY-5ASNBA2DEF1
2000-01,22,LAL,NBA,SG,68,68,2783,9.1,19.5,0.464,0.8,2.6,0.305,8.3,16.9,0.489,0.484,6.1,7.2,0.853,1.3,3.8,5.2,4.4,1.5,0.6,2.8,2.9,25.1,MVP-9DPOY-11ASNBA2DEF2
2001-02,23,LAL,NBA,SG,80,80,3063,8.8,18.8,0.469,0.4,1.6,0.25,8.4,17.2,0.489,0.479,5.7,6.9,0.829,1.3,3.9,5.2,5.1,1.4,0.4,2.6,2.7,23.7,MVP-5DPOY-3ASNBA1DEF2
2002-03,24,LAL,NBA,SG,82,82,3401,9.2,20.4,0.451,1.3,3.4,0.383,7.9,16.9,0.465,0.483,6.4,7.5,0.843,1.1,4.8,6,5.1,1.9,0.7,3,2.3,26,MVP-3DPOY-8ASNBA1DEF1
2003-04,25,LAL,NBA,SG,65,64,2447,7.6,17.3,0.438,1,3.2,0.327,6.5,14.1,0.463,0.468,6.7,7.8,0.852,1.5,3.8,5.3,4.9,1.6,0.4,2.5,2.6,22.9,MVP-5DPOY-10ASNBA1DEF1
2004-05,26,LAL,NBA,SG,66,66,2689,7.7,17.7,0.433,1.8,5.2,0.339,5.9,12.5,0.472,0.482,7.3,8.9,0.816,1.3,4,5.2,5.3,1.2,0.7,3.6,2.3,24.4,ASNBA3
2005-06,27,LAL,NBA,SG,80,80,3277,10.7,23.9,0.45,2,5.7,0.347,8.8,18.2,0.482,0.491,7.6,9,0.85,0.8,3.9,4.7,4,1.6,0.3,2.7,2.6,31.1,MVP-4ASNBA1DEF1
