Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
1992-93,20,ORL,NBA,C,81,81,3071,11.9,21.2,0.562,0,0,0,11.9,21.1,0.563,0.562,6.9,11.7,0.592,5.6,12.7,18.2,2.5,1,4.6,5,5.2,30.7,108,100,MVP-7ROY-1AS
1993-94,21,ORL,NBA,C,81,81,3224,14.9,24.9,0.599,0,0,0,14.9,24.9,0.6,0.599,7.4,13.3,0.554,6,10.8,16.8,3.1,1.2,3.6,3.5,4.4,37.2,120,102,MVP-4ASNBA3
1994-95,22,ORL,NBA,C,79,79,2923,16.1,27.5,0.583,0,0.1,0,16.1,27.4,0.585,0.583,7.9,14.7,0.533,5.7,9.9,15.6,3.7,1.3,3.3,3.5,4.5,40,118,104,MVP-2ASNBA2
1995-96,23,ORL,NBA,C,54,52,1946,15.9,27.8,0.573,0,0.1,0.5,15.9,27.7,0.573,0.574,6.7,13.7,0.487,4.9,11.1,16,4.2,0.9,3.1,4.2,5.2,38.5,110,103,MVP-9ASNBA3
1996-97,24,LAL,NBA,C,51,51,1941,15,26.9,0.557,0,0.1,0,15,26.8,0.559,0.557,6.3,13,0.484,5.3,12.1,17.4,4.3,1.2,4,4,4.9,36.3,110,99,MVP-9ASNBA3
1997-98,25,LAL,NBA,C,60,57,2175,15.8,27.1,0.584,0,0,,15.8,27.1,0.584,0.584,8.5,16.1,0.527,4.9,11.2,16.1,3.3,0.9,3.4,4.1,4.6,40.1,113,101,MVP-4ASNBA1
1998-99,26,LAL,NBA,C,49,49,1705,15.7,27.2,0.576,0,0,0,15.7,27.2,0.577,0.576,8.3,15.3,0.54,5.7,10.4,16.1,3.5,1.1,2.5,3.7,4.8,39.6,115,102,MVP-6NBA2
1999-00,27,LAL,NBA,C,79,79,3163,15.5,27.1,0.574,0,0,0,15.5,27.1,0.575,0.574,7,13.4,0.524,5.5,12.1,17.5,4.9,0.6,3.9,3.6,4.1,38.1,115,95,MVP-1DPOY-2ASNBA1DEF2
2000-01,28,LAL,NBA,C,74,74,2924,14.5,25.4,0.572,0,0,0,14.5,25.4,0.573,0.572,8.9,17.4,0.513,5.2,11.6,16.8,5,0.8,3.7,3.9,4.6,38,114,101,MVP-3DPOY-8ASNBA1DEF2
2001-02,29,LAL,NBA,C,67,66,2422,15.3,26.4,0.579,0,0,0,15.3,26.4,0.58,0.579,8.6,15.4,0.555,5.1,10.3,15.4,4.3,0.9,2.9,3.7,4.3,39.2,116,99,MVP-3ASNBA1
2002-03,30,LAL,NBA,C,67,66,2535,14.2,24.8,0.574,0,0,,14.2,24.8,0.574,0.574,9.2,14.8,0.622,5.3,9.9,15.2,4.2,0.8,3.3,4,4.7,37.7,117,102,MVP-5DPOY-13ASNBA1DEF2
2003-04,31,LAL,NBA,C,67,67,2464,11.7,20,0.584,0,0,,11.7,20,0.584,0.584,7,14.3,0.49,5.2,11,16.2,4.1,0.7,3.5,4.1,4.7,30.4,109,98,MVP-6DPOY-10ASNBA1
2004-05,32,MIA,NBA,C,73,73,2492,14,23.2,0.601,0,0,,14,23.2,0.601,0.601,7.5,16.2,0.461,5.4,10.8,16.1,4.2,0.8,3.6,4.3,5.6,35.4,111,100,MVP-2DPOY-8ASNBA1
2005-06,33,MIA,NBA,C,59,58,1806,13.9,23.2,0.6,0,0,,13.9,23.2,0.6,0.6,6.4,13.7,0.469,5,10.7,15.7,3.3,0.7,3,4.9,6.7,34.3,108,102,ASNBA1
2006-07,34,MIA,NBA,C,40,39,1135,13.3,22.5,0.591,0,0,,13.3,22.5,0.591,0.591,5.8,13.8,0.422,4.6,9.4,14,3.7,0.4,2.6,4.5,6.5,32.4,105,104,MVP-12AS
2007-08,35,2TM,NBA,C,61,61,1748,9.8,16.4,0.593,0,0,,9.8,16.4,0.593,0.593,5,10,0.503,4.9,11.4,16.3,2.7,0.9,2.6,5.3,6.7,24.5,101,105,
2007-08,35,MIA,NBA,C,33,33,945,10.8,18.5,0.581,0,0,,10.8,18.5,0.581,0.581,5,10,0.494,5.6,8.9,14.5,2.5,1.1,3,5.5,7.5,26.5,100,107,
2007-08,35,PHO,NBA,C,28,28,803,8.7,14.2,0.611,0,0,,8.7,14.2,0.611,0.611,5.1,9.9,0.513,4.1,14.2,18.3,3,0.8,2.1,5.1,5.8,22.4,103,103,
2008-09,36,PHO,NBA,C,75,75,2252,11.4,18.7,0.609,0,0,0,11.4,18.7,0.61,0.609,6.9,11.5,0.595,4.2,9.9,14.1,2.8,1.1,2.4,3.7,5.6,29.6,117,109,ASNBA3
2009-10,37,CLE,NBA,C,53,53,1240,11.1,19.6,0.566,0,0,0,11.1,19.6,0.567,0.566,4.7,9.6,0.496,3.9,11.1,15,3.4,0.6,2.6,4.4,7.2,27,104,102,
2010-11,38,BOS,NBA,C,37,36,752,9.5,14.2,0.667,0,0,,9.5,14.2,0.667,0.667,5.2,9.3,0.557,3.4,9.2,12.6,1.8,1.1,3,4,8.5,24.1,111,98,
,,,,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
19 Yrs,19 Yrs,19 Yrs,19 Yrs,,1207,1197,41918,14,24,0.582,0,0,0.045,14,23.9,0.583,0.582,7.3,13.9,0.527,5.2,10.9,16.1,3.7,0.9,3.4,4.1,5.1,35.2,113,101,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAL (8 Yrs),LAL (8 Yrs),LAL (8 Yrs),LAL (8 Yrs),,514,509,19329,14.7,25.5,0.575,0,0,0,14.7,25.5,0.576,0.575,8,15,0.533,5.3,11.1,16.4,4.3,0.9,3.4,3.9,4.5,37.4,114,99,
ORL (4 Yrs),ORL (4 Yrs),ORL (4 Yrs),ORL (4 Yrs),,295,293,11164,14.5,25,0.581,0,0,0.091,14.5,25,0.582,0.581,7.3,13.3,0.546,5.6,11.1,16.7,3.2,1.1,3.7,4,4.8,36.3,114,103,
MIA (4 Yrs),MIA (4 Yrs),MIA (4 Yrs),MIA (4 Yrs),,205,203,6378,13.4,22.4,0.596,0,0,,13.4,22.4,0.596,0.596,6.5,14.2,0.46,5.1,10.2,15.4,3.6,0.7,3.2,4.7,6.3,33.2,108,102,
PHO (2 Yrs),PHO (2 Yrs),PHO (2 Yrs),PHO (2 Yrs),,103,103,3055,10.7,17.5,0.609,0,0,0,10.7,17.5,0.61,0.609,6.4,11.1,0.576,4.2,11,15.2,2.8,1,2.3,4.1,5.7,27.7,114,107,
CLE (1 Yr),CLE (1 Yr),CLE (1 Yr),CLE (1 Yr),,53,53,1240,11.1,19.6,0.566,0,0,0,11.1,19.6,0.567,0.566,4.7,9.6,0.496,3.9,11.1,15,3.4,0.6,2.6,4.4,7.2,27,104,102,
BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),,37,36,752,9.5,14.2,0.667,0,0,,9.5,14.2,0.667,0.667,5.2,9.3,0.557,3.4,9.2,12.6,1.8,1.1,3,4,8.5,24.1,111,98,
