Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Philadelphia Warriors*,80,,49,111.6,0.439,,,,49,111.6,0.439,27.5,40.1,0.686,,,74.2,25.9,,,,25.2,125.4
2,Cincinnati Royals*,80,,47.6,105.2,0.452,,,,47.6,105.2,0.452,27.9,37.1,0.752,,,70.8,26.9,,,,26,123.1
3,Boston Celtics*,80,,48.2,113.9,0.423,,,,48.2,113.9,0.423,24.7,33.9,0.728,,,76,25.6,,,,23.9,121.1
4,Syracuse Nationals*,80,,46.3,110.9,0.418,,,,46.3,110.9,0.418,28.1,36,0.78,,,72.1,22.4,,,,29.3,120.7
5,St. Louis Hawks,80,,45.5,105.8,0.43,,,,45.5,105.8,0.43,27.8,36.7,0.757,,,69.5,25,,,,27.1,118.9
6,Los Angeles Lakers*,80,,44.4,103.9,0.427,,,,44.4,103.9,0.427,29.7,40.5,0.734,,,70,23.5,,,,25.7,118.5
7,Detroit Pistons*,80,,43.4,104.6,0.415,,,,43.4,104.6,0.415,28.6,39.3,0.729,,,72.8,21.5,,,,25.5,115.4
8,New York Knicks,80,,45.5,108.7,0.418,,,,45.5,108.7,0.418,23.9,33.7,0.71,,,68,22.1,,,,25.7,114.8
9,Chicago Packers,80,,43.3,105.1,0.412,,,,43.3,105.1,0.412,24.4,36.3,0.673,,,69.3,22.5,,,,24.4,110.9
,League Average,80,,45.9,107.7,0.426,,,,45.9,107.7,0.426,27,37.1,0.727,,,71.4,23.9,,,,25.9,118.8
