Season,Age,Team,Lg,Pos,G,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards
1959-60,23,PHW,NBA,C,72,3338,11.5,24.9,0.461,6.2,10.7,0.582,20.9,1.8,1.6,29.2,MVP-1ROY-1ASNBA1
1960-61,24,PHW,NBA,C,79,3773,11.9,23.4,0.509,5.1,10.1,0.504,20.5,1.4,1.2,28.9,MVP-4ASNBA1
1961-62,25,PHW,NBA,C,80,3882,14.8,29.3,0.506,7.7,12.6,0.613,19,1.8,1.1,37.4,MVP-2ASNBA1
1962-63,26,SFW,NBA,C,80,3806,13.8,26.2,0.528,6.2,10.5,0.593,18.4,2.6,1.3,33.9,MVP-7ASNBA2
1963-64,27,SFW,NBA,C,80,3689,11.7,22.4,0.524,5.3,9.9,0.531,17.4,3.9,1.8,28.8,MVP-2ASNBA1
1964-65,28,2TM,NBA,C,73,3301,11.6,22.7,0.51,4.4,9.6,0.464,18.2,2.7,1.6,27.6,MVP-5ASNBA2
1964-65,28,SFW,NBA,C,38,1743,13.1,26.3,0.499,4.3,10.3,0.416,18.4,2.4,1.6,30.6,
1964-65,28,PHI,NBA,C,35,1558,9.9,18.7,0.528,4.6,8.8,0.526,18,3.1,1.6,24.4,
1965-66,29,PHI,NBA,C,79,3737,10.3,19.2,0.54,4.8,9.4,0.513,18.7,4,1.6,25.5,MVP-1ASNBA1
1966-67,30,PHI,NBA,C,81,3682,7.7,11.2,0.683,3.8,8.6,0.441,19.1,6.2,1.4,19.1,MVP-1ASNBA1
1967-68,31,PHI,NBA,C,82,3836,7.7,12.9,0.595,3.3,8.7,0.38,18.3,6.6,1.5,18.7,MVP-1ASNBA1
1968-69,32,LAL,NBA,C,81,3669,6.3,10.8,0.583,3.7,8.4,0.446,16.8,3.6,1.4,16.3,AS
1969-70,33,LAL,NBA,C,12,505,9.2,16.2,0.568,5,11.2,0.446,15.8,3.5,2.2,23.4,
1970-71,34,LAL,NBA,C,82,3630,6.6,12.2,0.545,3.6,6.6,0.538,14.8,3.5,1.7,16.8,AS
1971-72,35,LAL,NBA,C,82,3469,5.1,7.9,0.649,2.3,5.4,0.422,16.3,3.4,2,12.6,MVP-3ASNBA2DEF1
1972-73,36,LAL,NBA,C,82,3542,4.3,6,0.727,2.4,4.6,0.51,15.5,3.7,1.9,11,MVP-4ASDEF1
1973-74,Did not play - sat out option year,Did not play - sat out option year,Did not play - sat out option year,Did not play - sat out option year,Did not play - sat out option year,Did not play - sat out option year,Did not play - sat out option year,Did not play - sat out option year,Did not play - sat out option year,Did not play - sat out option year,Did not play - sat out option year,Did not play - sat out option year,Did not play - sat out option year,Did not play - sat out option year,Did not play - sat out option year,Did not play - sat out option year,Did not play - sat out option year
14 Yrs,14 Yrs,14 Yrs,14 Yrs,,1045,47859,9.5,17.7,0.54,4.6,8.9,0.511,18,3.5,1.6,23.6,
,,,,,,,,,,,,,,,,,
SFW (6 Yrs),SFW (6 Yrs),SFW (6 Yrs),SFW (6 Yrs),,429,20231,12.8,25.4,0.506,6,10.7,0.555,19.2,2.3,1.4,31.6,
LAL (5 Yrs),LAL (5 Yrs),LAL (5 Yrs),LAL (5 Yrs),,339,14815,5.7,9.5,0.605,3.1,6.5,0.475,15.9,3.6,1.8,14.5,
PHI (4 Yrs),PHI (4 Yrs),PHI (4 Yrs),PHI (4 Yrs),,277,12813,8.7,15,0.583,4,8.9,0.456,18.6,5.3,1.5,21.5,
